Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,FrameType,TimeInSeconds,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,MsPCLatency,CPUStartTime,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsAllInputToPhotonLatency,MsClickToPhotonLatency,InstrumentedLatency,GPUPower,GPUVoltage,GPUFrequency,GPUTemperature,GPUUtilization,3D/ComputeUtilization,MediaUtilization,GPUMemoryPower,GPUMemoryVoltage,GPUMemoryFrequency,GPUMemoryEffectiveFrequency,GPUMemoryTemperature,GPUMemorySize,GPUMemorySizeUsed,GPUMemoryMaxBandwidth,GPUMemoryReadBandwidth,GPUMemoryWriteBandwidth,GPUFanSpeed[0],GPUFanSpeed[1],GPUFanSpeed[2],GPUFanSpeed[3],GPUPowerLimited,GPUTemperatureLimited,GPUCurrentLimited,GPUVoltageLimited,GPUUtilizationLimited,GPUMemoryPowerLimited,GPUMemoryTemperatureLimited,GPUMemoryCurrentLimited,GPUMemoryVoltageLimited,GPUMemoryUtilizationLimited,CPUUtilization,CPUPower,CPUTemperature,CPUFrequency
r5apex_dx12.exe,18660,0x1F741139B80,DXGI,0,512,1,Hardware: Independent Flip,Application,0,NA,5.2298,13.6476,1.0337,6.1116,NA,NA,0,5.3022,4.2685,1.0337,4.9681,5.4120,5.2307,0.1813,NA,NA,NA,NA,NA,58.8410,NA,1695.0000,75.0000,93.0000,NA,16.0000,NA,NA,6201.0000,NA,NA,6442450944,2253598720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.8721,NA,NA,3763.3357
r5apex_dx12.exe,18660,0x1F741139B80,DXGI,0,512,1,Hardware: Independent Flip,Application,0.004492,NA,4.4923,0.0000,1.5747,5.5548,5.5548,NA,0.005302,5.0333,3.4586,1.5747,5.0779,3.9355,3.8866,0.0489,-1844674407370945.5000,530803.0392,NA,NA,NA,58.8410,NA,1695.0000,75.0000,93.0000,NA,16.0000,NA,NA,6201.0000,NA,NA,6442450944,2253598720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.8721,NA,NA,3763.3357
r5apex_dx12.exe,18660,0x1F741139B80,DXGI,0,512,1,Hardware: Independent Flip,Application,0.009301,NA,4.8082,11.2334,1.0723,3.8916,11.9800,NA,0.01034,4.3058,3.2335,1.0723,3.9801,3.1450,3.1154,0.0296,-6.2001,530808.0725,NA,NA,NA,58.8410,NA,1695.0000,75.0000,93.0000,NA,16.0000,NA,NA,6201.0000,NA,NA,6442450944,2253598720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.8721,NA,NA,3763.3357
r5apex_dx12.exe,18660,0x1F741139B80,DXGI,0,512,1,Hardware: Independent Flip,Application,0.01401,NA,4.7103,10.9398,1.3404,5.0434,18.2095,NA,0.01464,4.9784,3.6380,1.3404,2.8193,5.8621,5.3140,0.5481,-6.6340,530812.3783,NA,NA,NA,58.8410,NA,1695.0000,75.0000,93.0000,NA,16.0000,NA,NA,6201.0000,NA,NA,6442450944,2253598720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.8721,NA,NA,3763.3357
r5apex_dx12.exe,18660,0x1F741139B80,DXGI,0,512,1,Hardware: Independent Flip,Application,0.01839,NA,4.3797,13.8867,0.8277,14.5049,NA,NA,0.01962,3.8670,3.0393,0.8277,3.7030,13.8412,13.8412,0.0000,NA,NA,32.7220,NA,NA,58.7050,NA,1800.0000,74.0000,93.0000,NA,16.0000,NA,NA,6201.0000,NA,NA,6442450944,2262188032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.8721,NA,NA,3763.3357
r5apex_dx12.exe,18660,0x1F741139B80,DXGI,0,512,1,Hardware: Independent Flip,Application,0.02156,NA,3.1695,0.0000,11.2910,17.8612,17.8612,NA,0.02349,13.6328,2.3418,11.2910,13.6772,6.5258,6.3833,0.1425,-1844674407370944.5000,530821.2237,NA,NA,NA,58.7050,NA,1800.0000,74.0000,93.0000,NA,16.0000,NA,NA,6201.0000,NA,NA,6442450944,2262188032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.8721,NA,NA,3763.3357
r5apex_dx12.exe,18660,0x1F741139B80,DXGI,0,512,1,Hardware: Independent Flip,Application,0.03622,NA,14.6564,13.6068,3.1221,9.0861,NA,NA,0.03712,6.4875,3.3654,3.1221,6.5702,5.8813,5.5261,0.3552,NA,NA,NA,NA,NA,58.7050,NA,1800.0000,74.0000,93.0000,NA,16.0000,NA,NA,6201.0000,NA,NA,6442450944,2262188032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.8721,NA,NA,3763.3357
r5apex_dx12.exe,18660,0x1F741139B80,DXGI,0,512,1,Hardware: Independent Flip,Application,0.04292,NA,6.7032,0.0000,2.3515,5.4239,5.4678,NA,0.04361,5.9326,3.5811,2.3515,5.9640,3.0410,3.0330,0.0080,-1844674407370944.2500,530841.3440,NA,NA,NA,58.7050,NA,1800.0000,74.0000,93.0000,NA,16.0000,NA,NA,6201.0000,NA,NA,6442450944,2262188032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.8721,NA,NA,3763.3357
r5apex_dx12.exe,18660,0x1F741139B80,DXGI,0,512,1,Hardware: Independent Flip,Application,0.04865,NA,5.7266,11.6424,1.2620,4.1165,11.3836,NA,0.04954,4.6371,3.3751,1.2620,3.2491,4.2425,4.1853,0.0572,-5.7098,530847.2766,NA,NA,NA,58.7050,NA,1800.0000,74.0000,93.0000,NA,16.0000,NA,NA,6201.0000,NA,NA,6442450944,2262188032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.8721,NA,NA,3763.3357
r5apex_dx12.exe,18660,0x1F741139B80,DXGI,0,512,1,Hardware: Independent Flip,Application,0.05304,NA,4.3922,6.8851,0.9336,4.3364,13.8765,NA,0.05418,4.0638,3.1302,0.9336,2.8545,4.6121,4.5394,0.0727,-2.2480,530851.9137,NA,NA,NA,58.7050,NA,1800.0000,74.0000,93.0000,NA,16.0000,NA,NA,6201.0000,NA,NA,6442450944,2262188032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.8721,NA,NA,3763.3357
